CityKey,CustomerCity,CustomerCountry,CountryKey,Latitude,Longitude
131,Eger,Hungary,15,47.90265,20.37329
132,Oslo,Norway,7,59.91273,10.74609
133,Linköping,Sweden,5,58.41086,15.62157
134,La Ravoire,France,4,45.56266,5.95826
135,Načeradec,Czech Republic,8,49.61018,14.90633
136,Tournon-sur-Rhône,France,4,45.06667,4.83333
137,Mílos,Greece,9,36.74536,24.4265
138,Nacka,Sweden,5,59.31053,18.16372
139,Wintzenheim,France,4,48.07269,7.29072
140,Mirotice,Czech Republic,8,49.42908,14.03697
141,Spytkowice,Poland,6,49.57744,19.83341
142,Spytkowice,Poland,6,49.99671,19.51103
143,Pau,France,4,43.31117,-0.35583
144,Redon,France,4,47.65165,-2.08421
145,Vilémov,Czech Republic,8,49.81566,15.53584
146,Vilémov,Czech Republic,8,50.99054,14.33531
147,Vilémov,Czech Republic,8,49.53578,15.38347
148,Lovrenc na Pohorju,Slovenia,14,46.54056,15.39306
149,Trzebnica,Poland,6,51.31076,17.06331
150,Ylitornio,Finland,13,66.30893,23.67734
151,Léchovo,Greece,9,40.58442,21.49218
152,Limoges,France,4,45.83362,1.24759
153,Chřibská,Czech Republic,8,50.86079,14.48444
154,Szeged,Hungary,15,46.253,20.14824
155,Ráječko,Czech Republic,8,49.39393,16.64497
156,Lammi,Finland,13,61.08333,25.01667
157,Höganäs,Sweden,5,56.19971,12.55795
158,Croix,France,4,50.67846,3.1493
159,Praszka,Poland,6,51.05375,18.45317
160,Níkaia,Greece,9,37.96667,23.65
161,Níkaia,Greece,9,39.56667,22.46667
162,Klatovy,Czech Republic,8,49.39552,13.29505
163,Załuski,Poland,6,52.51152,20.52864
164,Ágios Vasíleios,Greece,9,40.66424,23.11373
165,Töysä,Finland,13,62.62803,23.81828
166,Pawonków,Poland,6,50.69499,18.58149
167,Staré Město,Czech Republic,8,49.66992,18.36349
168,Staré Město,Czech Republic,8,50.16174,16.94734
169,Staré Město,Czech Republic,8,49.07515,17.43338
170,Šventoji,Lithuania,12,56.0261,21.08411
171,Tworków,Poland,6,50.00559,18.23576
172,Arras,France,4,50.29301,2.78186
173,Stanisław Górny,Poland,6,49.91155,19.62931
174,Drezdenko,Poland,6,52.83831,15.83079
175,Stockholm,Sweden,5,59.32938,18.06871
176,Pecka,Czech Republic,8,50.48034,15.60822
177,Juvisy-sur-Orge,France,4,48.68333,2.38333
178,Sillamäe,Estonia,3,59.39697,27.76331
179,Baranowo,Poland,6,53.17554,21.29803
180,Baranowo,Poland,6,52.43525,16.78631
181,Rajsko,Poland,6,50.01193,19.19294
182,Périgueux,France,4,45.18691,0.71439
183,Solna,Sweden,5,59.36004,18.00086
184,Montceau-les-Mines,France,4,46.66667,4.36667
185,Massy,France,4,48.72692,2.28301
186,Třemošnice,Czech Republic,8,49.86912,15.58002
187,Karlovy Vary,Czech Republic,8,50.23271,12.87117
188,Chvalšiny,Czech Republic,8,48.85401,14.21114
189,Velká Polom,Czech Republic,8,49.86359,18.09331
190,Kinna,Sweden,5,57.50728,12.69463
191,Ystad,Sweden,5,55.42966,13.82041
192,Studenec,Czech Republic,8,50.55344,15.54936
193,Sindi,Estonia,3,58.40056,24.6675
194,Tidaholm,Sweden,5,58.18035,13.95824
195,Samothráki,Greece,9,40.47333,25.52222
196,Souflí,Greece,9,41.19194,26.29944
197,Enköping,Sweden,5,59.63607,17.07768
198,Luhanka,Finland,13,61.79682,25.70457
199,Carquefou,France,4,47.29722,-1.4921
200,Makrychóri,Greece,9,39.8,22.48333
201,Makrychóri,Greece,9,39.43978,21.96582
202,Quimperlé,France,4,47.87215,-3.54994
203,Toulon,France,4,43.12442,5.92836
204,Štítina,Czech Republic,8,49.91487,18.01245
